start_time,median_flux
1326.25338937, 152.75762939
1326.25477824, 152.79922485
1326.25616711, 152.64660645
1326.25755597, 152.83961487
1326.25894484, 152.60499573
1326.26033371, 152.62117004
1326.26172257, 152.73481750
1326.26311144, 152.37725830
1326.26450031, 152.61656189
1326.26588917, 152.68090820
1326.26727804, 152.59347534
1326.26866690, 152.46875000
1326.27005577, 152.41841125
1326.27144464, 152.59278870
1326.27283350, 152.40245056
1326.27422237, 152.32658386
1326.27561124, 152.35507202
1326.27700010, 152.54316711
1326.27838897, 152.46461487
1326.27977784, 152.33995056
1326.28116670, 152.45382690
1326.28255557, 152.29129028
1326.28394444, 152.18667603
1326.28533330, 152.33486938
1326.28672217, 152.50787354
1326.28811104, 152.29760742
1326.28949990, 152.46394348
1326.29088877, 152.27876282
1326.29227764, 152.15823364
1326.29366650, 151.98526001
1326.29505537, 152.14503479
1326.29644424, 152.26016235
1326.29783310, 152.02093506
1326.29922197, 152.16152954
1326.30061084, 152.28471375
1326.30199970, 152.11642456
1326.30338857, 151.92378235
1326.30477744, 152.26222229
1326.30616630, 152.21099854
1326.30755517, 152.18132019
1326.30894404, 152.04060364
1326.31033290, 152.44464111
1326.31172177, 152.30467224
1326.31311064, 152.55723572
1326.31449950, 152.35577393
1326.31588837, 152.60508728
1326.31727724, 152.53839111
1326.31866610, 152.60871887
1326.32005497, 152.54681396
1326.32144383, 152.50120544
1326.32283270, 152.84280396
1326.32422157, 152.90467834
1326.32561043, 152.50205994
1326.32699930, 152.99058533
1326.32838817, 152.97352600
1326.32977703, 152.74403381
1326.33116590, 152.77095032
1326.33255477, 152.92626953
1326.33394363, 153.08540344
1326.33533250, 152.86596680
1326.33672137, 152.78112793
1326.33811023, 153.38442993
1326.33949910, 153.42622375
1326.34088797, 153.48927307
1326.34227683, 153.37828064
1326.34366570, 153.22795105
1326.34505457, 153.24607849
1326.34644343, 153.73851013
1326.34783230, 153.72045898
1326.34922117, 153.59367371
1326.35061003, 153.81396484
1326.35199890, 153.55346680
1326.35338777, 153.87936401
1326.35477663, 153.98838806
1326.35616550, 153.70571899
1326.35755437, 154.18025208
1326.35894323, 153.93760681
1326.36033210, 154.22245789
1326.36172097, 154.24407959
1326.36310984, 154.27484131
1326.36449870, 154.26155090
1326.36588757, 154.26995850
1326.36727644, 154.27832031
1326.36866530, 154.57083130
1326.37005417, 154.43804932
1326.37144304, 154.39889526
1326.37283190, 154.38024902
1326.37422077, 154.84400940
1326.37560964, 154.36201477
1326.37699850, 154.73022461
1326.37838737, 154.70642090
1326.37977624, 154.66320801
1326.38116510, 154.73893738
1326.38255397, 154.82875061
1326.38394284, 154.93132019
1326.38533170, 155.15733337
1326.38672057, 154.92709351
1326.38810944, 155.21255493
1326.38949830, 155.17250061
1326.39088717, 155.18704224
1326.39227604, 155.22451782
1326.39366490, 155.21949768
1326.39505377, 155.47189331
1326.39644264, 155.42710876
1326.39783150, 155.52027893
1326.39922037, 155.33232117
1326.40060924, 155.42150879
1326.40199810, 155.70237732
1326.40338697, 155.73434448
1326.40477584, 155.66851807
1326.40616470, 155.93159485
1326.40755357, 155.79177856
1326.40894244, 155.82604980
1326.41033130, 156.02072144
1326.41172017, 155.91438293
1326.41310904, 155.92512512
1326.41449790, 156.08663940
1326.41588677, 156.20068359
1326.41727564, 156.16325378
1326.41866451, 156.16542053
1326.42005337, 156.13647461
1326.42144224, 156.24992371
1326.42283111, 156.40496826
1326.42421997, 156.40077209
1326.42560884, 156.27093506
1326.42699771, 156.80670166
1326.42838657, 156.70796204
1326.42977544, 156.67016602
1326.43116431, 156.54672241
1326.43255317, 156.85337830
1326.43394204, 156.78860474
1326.43533091, 156.53118896
1326.43671977, 156.79753113
1326.43810864, 156.76792908
1326.43949751, 156.92768860
1326.44088637, 157.14561462
1326.44227524, 157.00433350
1326.44366411, 157.18411255
1326.44505297, 156.99348450
1326.44644184, 157.10510254
1326.44783071, 156.93989563
1326.44921958, 157.05567932
1326.45060844, 157.19679260
1326.45199731, 157.27688599
1326.45338618, 157.58262634
1326.45477504, 157.42431641
1326.45616391, 157.21455383
1326.45755278, 157.31695557
1326.45894164, 157.49137878
1326.46033051, 157.58462524
1326.46171938, 157.24969482
1326.46310824, 157.54461670
1326.46449711, 157.97351074
1326.46588598, 157.88694763
1326.46727484, 157.76922607
1326.46866371, 157.99395752
1326.47005258, 157.78863525
1326.47144145, 157.93821716
1326.47283031, 158.03500366
1326.47421918, 158.12347412
1326.47560805, 158.21334839
1326.47699691, 157.98225403
1326.47838578, 157.86151123
1326.47977465, 158.24038696
1326.48116351, 158.38981628
1326.48255238, 158.20571899
1326.48394125, 158.39395142
1326.48533011, 158.20352173
1326.48671898, 158.31707764
1326.48810785, 158.54512024
1326.48949671, 158.58705139
1326.49088558, 158.37936401
1326.49227445, 158.82626343
1326.49366332, 158.53372192
1326.49505218, 158.57933044
1326.49644105, 159.00285339
1326.49782992, 158.69749451
1326.49921878, 158.77488708
1326.50060765, 158.81698608
1326.50199652, 159.06288147
1326.50338538, 158.85804749
1326.50477425, 159.25224304
1326.50616312, 159.32363892
1326.50755198, 159.19908142
1326.50894085, 159.11659241
1326.51032972, 159.11073303
1326.51171859, 159.45004272
1326.51310745, 159.51295471
1326.51449632, 159.55082703
1326.51588519, 159.65634155
1326.51727405, 159.61874390
1326.51866292, 159.88525391
1326.52005179, 159.96372986
1326.52144065, 160.08920288
1326.52282952, 160.00978088
1326.52421839, 159.92521667
1326.52560726, 159.96682739
1326.52699612, 159.92945862
1326.52838499, 160.20545959
1326.52977386, 160.42567444
1326.53116272, 160.61003113
1326.53255159, 160.70263672
1326.53394046, 160.81063843
1326.53532932, 160.91140747
1326.53671819, 161.00540161
1326.53810706, 160.80644226
1326.53949592, 161.13938904
1326.54088479, 161.33761597
1326.54227366, 161.31329346
1326.54366253, 161.56143188
1326.54505139, 161.74905396
1326.54644026, 161.82273865
1326.54782913, 162.00729370
1326.54921799, 161.87170410
1326.55060686, 162.11529541
1326.55199573, 161.84942627
1326.55338459, 162.14903259
1326.55477346, 162.08734131
1326.55616233, 161.84939575
1326.55755120, 162.18664551
1326.55894006, 162.04180908
1326.56032893, 162.42733765
1326.56171780, 162.17108154
1326.56310666, 162.29750061
1326.56449553, 162.17054749
1326.56588440, 162.17366028
1326.56727326, 162.33123779
1326.56866213, 162.16912842
1326.57005100, 162.21923828
1326.57143987, 162.55418396
1326.57282873, 162.42195129
1326.57421760, 162.51162720
1326.57560647, 162.35249329
1326.57699533, 162.72282410
1326.57838420, 162.51567078
1326.57977307, 162.78839111
1326.58116193, 162.67982483
1326.58255080, 162.85740662
1326.58393967, 162.75024414
1326.58532854, 162.78785706
1326.58671740, 162.80110168
1326.58810627, 162.87117004
1326.58949514, 162.96171570
1326.59088400, 162.81195068
1326.59227287, 163.03474426
1326.59366174, 162.98612976
1326.59505061, 162.98741150
1326.59643947, 163.22863770
1326.59782834, 163.41868591
1326.59921721, 163.36991882
1326.60060607, 163.25502014
1326.60199494, 162.99482727
1326.60338381, 163.20985413
1326.60477267, 163.39613342
1326.60616154, 163.28292847
1326.60755041, 163.21623230
1326.60893928, 163.44093323
1326.61032814, 163.59883118
1326.61171701, 163.41708374
1326.61310588, 163.55339050
1326.61449474, 163.70404053
1326.61588361, 163.45176697
1326.61727248, 163.55163574
1326.61866135, 163.60800171
1326.62005021, 163.69274902
1326.62143908, 163.65634155
1326.62282795, 163.74325562
1326.62421681, 163.64682007
1326.62560568, 163.67585754
1326.62699455, 163.65084839
1326.62838342, 163.71275330
1326.62977228, 163.80728149
1326.63116115, 163.76837158
1326.63255002, 164.01942444
1326.63393888, 163.82942200
1326.63532775, 163.68946838
1326.63671662, 163.67269897
1326.63810548, 163.91952515
1326.63949435, 163.74774170
1326.64088322, 163.77677917
1326.64227209, 163.74765015
1326.64366095, 163.98144531
1326.64504982, 163.80181885
1326.64643869, 163.77635193
1326.64782755, 163.52980042
1326.64921642, 163.63366699
1326.65060529, 163.50024414
1326.65199416, 163.64524841
1326.65338302, 163.54318237
1326.65477189, 163.48452759
1326.65616076, 163.25448608
1326.65754962, 163.66357422
1326.65893849, 163.55409241
1326.66032736, 163.29837036
1326.66171623, 163.17488098
1326.66310509, 163.51416016
